"Number","day","ris_total","bts_total","age","gender","education","nation","week","ris_between","ris_within","bts_between","bts_within","ris_between_c","bts_between_c","ris_within_lag1","bts_within_lag1","ris_total_lag1","bts_total_lag1"
"K14",2,2,7,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,1.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,1.5,2,7
"K14",3,2,6,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,1.5,2,7
"K14",4,4,5,21,1,2,0,1,2.14285714285714,1.85714285714286,5.5,-0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,0.5,2,6
"K14",5,2,3,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,-2.5,-4.09039160350586,-5.38573154728566,1.85714285714286,-0.5,4,5
"K14",6,2,5,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,-0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-2.5,2,3
"K14",7,2,4,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,-1.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-0.5,2,5
"K14",8,2,5,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-1.5,2,4
"K14",9,2,5,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-0.5,2,5
"K14",10,2,4,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-1.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-0.5,2,5
"K14",11,2,5,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-0.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-1.5,2,4
"K14",12,2,4,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-1.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-0.5,2,5
"K14",13,2,4,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,-1.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-1.5,2,4
"K14",14,2,13,21,1,2,0,2,2.14285714285714,-0.142857142857143,5.5,7.5,-4.09039160350586,-5.38573154728566,-0.142857142857143,-1.5,2,4
"K15",1,2,9,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,0.928571428571429,-4.09039160350586,-2.81430297585709,NA,NA,NA,NA
"K15",2,4,11,21,0,2,0,1,2.14285714285714,1.85714285714286,8.07142857142857,2.92857142857143,-4.09039160350586,-2.81430297585709,-0.142857142857143,0.928571428571429,2,9
"K15",3,2,7,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,-1.07142857142857,-4.09039160350586,-2.81430297585709,1.85714285714286,2.92857142857143,4,11
"K15",4,2,10,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,1.92857142857143,-4.09039160350586,-2.81430297585709,-0.142857142857143,-1.07142857142857,2,7
"K15",5,2,6,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,-2.07142857142857,-4.09039160350586,-2.81430297585709,-0.142857142857143,1.92857142857143,2,10
"K15",6,2,9,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,0.928571428571429,-4.09039160350586,-2.81430297585709,-0.142857142857143,-2.07142857142857,2,6
"K15",7,2,7,21,0,2,0,1,2.14285714285714,-0.142857142857143,8.07142857142857,-1.07142857142857,-4.09039160350586,-2.81430297585709,-0.142857142857143,0.928571428571429,2,9
"K15",8,2,10,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,1.92857142857143,-4.09039160350586,-2.81430297585709,-0.142857142857143,-1.07142857142857,2,7
"K15",9,2,8,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-0.0714285714285712,-4.09039160350586,-2.81430297585709,-0.142857142857143,1.92857142857143,2,10
"K15",10,2,8,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-0.0714285714285712,-4.09039160350586,-2.81430297585709,-0.142857142857143,-0.0714285714285712,2,8
"K15",11,2,7,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-1.07142857142857,-4.09039160350586,-2.81430297585709,-0.142857142857143,-0.0714285714285712,2,8
"K15",12,2,8,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-0.0714285714285712,-4.09039160350586,-2.81430297585709,-0.142857142857143,-1.07142857142857,2,7
"K15",13,2,6,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-2.07142857142857,-4.09039160350586,-2.81430297585709,-0.142857142857143,-0.0714285714285712,2,8
"K15",14,2,7,21,0,2,0,2,2.14285714285714,-0.142857142857143,8.07142857142857,-1.07142857142857,-4.09039160350586,-2.81430297585709,-0.142857142857143,-2.07142857142857,2,6
"K16",1,2,11,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,2.14285714285714,-3.94753446064872,-2.0285886901428,NA,NA,NA,NA
"K16",2,2,10,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,1.14285714285714,-3.94753446064872,-2.0285886901428,-0.285714285714286,2.14285714285714,2,11
"K16",3,2,8,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,-0.857142857142858,-3.94753446064872,-2.0285886901428,-0.285714285714286,1.14285714285714,2,10
"K16",4,4,8,21,0,2,0,1,2.28571428571429,1.71428571428571,8.85714285714286,-0.857142857142858,-3.94753446064872,-2.0285886901428,-0.285714285714286,-0.857142857142858,2,8
"K16",5,2,9,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,0.142857142857142,-3.94753446064872,-2.0285886901428,1.71428571428571,-0.857142857142858,4,8
"K16",6,2,11,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,2.14285714285714,-3.94753446064872,-2.0285886901428,-0.285714285714286,0.142857142857142,2,9
"K16",7,2,8,21,0,2,0,1,2.28571428571429,-0.285714285714286,8.85714285714286,-0.857142857142858,-3.94753446064872,-2.0285886901428,-0.285714285714286,2.14285714285714,2,11
"K16",8,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,-1.85714285714286,-3.94753446064872,-2.0285886901428,-0.285714285714286,-0.857142857142858,2,8
"K16",9,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,-1.85714285714286,-3.94753446064872,-2.0285886901428,-0.285714285714286,-1.85714285714286,2,7
"K16",10,2,10,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,1.14285714285714,-3.94753446064872,-2.0285886901428,-0.285714285714286,-1.85714285714286,2,7
"K16",11,2,10,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,1.14285714285714,-3.94753446064872,-2.0285886901428,-0.285714285714286,1.14285714285714,2,10
"K16",12,2,8,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,-0.857142857142858,-3.94753446064872,-2.0285886901428,-0.285714285714286,1.14285714285714,2,10
"K16",13,2,8,21,0,2,0,2,2.28571428571429,-0.285714285714286,8.85714285714286,-0.857142857142858,-3.94753446064872,-2.0285886901428,-0.285714285714286,-0.857142857142858,2,8
"K16",14,4,9,21,0,2,0,2,2.28571428571429,1.71428571428571,8.85714285714286,0.142857142857142,-3.94753446064872,-2.0285886901428,-0.285714285714286,-0.857142857142858,2,8
"K17",1,3,10,20,0,2,0,1,3.71428571428571,-0.714285714285714,7.71428571428571,2.28571428571429,-2.51896303207729,-3.17144583299995,NA,NA,NA,NA
"K17",2,4,10,20,0,2,0,1,3.71428571428571,0.285714285714286,7.71428571428571,2.28571428571429,-2.51896303207729,-3.17144583299995,-0.714285714285714,2.28571428571429,3,10
"K17",3,2,8,20,0,2,0,1,3.71428571428571,-1.71428571428571,7.71428571428571,0.285714285714286,-2.51896303207729,-3.17144583299995,0.285714285714286,2.28571428571429,4,10
"K17",4,2,6,20,0,2,0,1,3.71428571428571,-1.71428571428571,7.71428571428571,-1.71428571428571,-2.51896303207729,-3.17144583299995,-1.71428571428571,0.285714285714286,2,8
"K17",5,2,10,20,0,2,0,1,3.71428571428571,-1.71428571428571,7.71428571428571,2.28571428571429,-2.51896303207729,-3.17144583299995,-1.71428571428571,-1.71428571428571,2,6
"K17",6,4,8,20,0,2,0,1,3.71428571428571,0.285714285714286,7.71428571428571,0.285714285714286,-2.51896303207729,-3.17144583299995,-1.71428571428571,2.28571428571429,2,10
"K17",7,4,6,20,0,2,0,1,3.71428571428571,0.285714285714286,7.71428571428571,-1.71428571428571,-2.51896303207729,-3.17144583299995,0.285714285714286,0.285714285714286,4,8
"K17",8,6,7,20,0,2,0,2,3.71428571428571,2.28571428571429,7.71428571428571,-0.714285714285714,-2.51896303207729,-3.17144583299995,0.285714285714286,-1.71428571428571,4,6
"K17",9,6,7,20,0,2,0,2,3.71428571428571,2.28571428571429,7.71428571428571,-0.714285714285714,-2.51896303207729,-3.17144583299995,2.28571428571429,-0.714285714285714,6,7
"K17",10,2,7,20,0,2,0,2,3.71428571428571,-1.71428571428571,7.71428571428571,-0.714285714285714,-2.51896303207729,-3.17144583299995,2.28571428571429,-0.714285714285714,6,7
"K17",11,5,8,20,0,2,0,2,3.71428571428571,1.28571428571429,7.71428571428571,0.285714285714286,-2.51896303207729,-3.17144583299995,-1.71428571428571,-0.714285714285714,2,7
