UID	province	city	year	微博数	微博字数	消极感受	社会比较	强迫性思维	认知偏差	休息不耐受	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
浙江 金华_2011	浙江	金华	2011	1610538	46266158	2.9193465006096243e-06	4.800703134335827e-06	1.3104622069403203e-05	5.298073278884133e-06	2.61227E-05	46243226	46243226	8.522329302890762e-05	0.011304574641916202	0	0	0.00010812394446702313	0	1	30	0
浙江 金华_2012	浙江	金华	2012	1452287	45342714	3.993439286705554e-06	5.449610518321943e-06	1.1781749055805336e-05	5.979127329818813e-06	2.72039E-05	45324340	45324340	9.043705876356942e-05	0.012391620043446855	0	0	7.130826394824503e-05	0	1	27	0
浙江 金华_2013	浙江	金华	2013	507687	15324676	4.243404834922412e-06	4.765670045374402e-06	1.1032852570798272e-05	6.1366162228108735e-06	2.61785E-05	15317888	3829472	8.878508577683816e-05	0.009781439843403999	0	0	0.0001013194508276859	0	2	5	0
浙江 金华_2014	浙江	金华	2014	372787	10917455	3.3918824186541797e-06	5.500349868087859e-06	9.442267273550826e-06	6.600419841705431e-06	2.49349E-05	10908397	3636132.3333333335	8.553044044876621e-05	0.010684429618760666	0	0	0.0001608852336415699	0	0	73	0
浙江 金华_2015	浙江	金华	2015	267859	7259442	3.7231570717231734e-06	4.1368411908035264e-06	1.1031576508809404e-05	8.687366500687405e-06	2.75789E-05	7251910	7251910	9.762945210296322e-05	0.009614708400959196	0	0	0.00022725047608147372	0	0	46	0
浙江 金华_2016	浙江	金华	2016	263530	7226147	2.6319511387967746e-06	5.12537853344635e-06	8.588472137126317e-06	5.956520998329542e-06	2.23023E-05	7218979	1804744.75	7.771182046657844e-05	0.008614930172258431	0	0	0.00018285134227430223	0	0	80	0
浙江 金华_2017	浙江	金华	2017	175522	5217894	1.726181571285545e-06	4.9867467614915745e-06	1.3234058713189178e-05	6.712928332777119e-06	2.66599E-05	5213820	2606910	9.62825720872604e-05	0.009702674814243683	0	0	0.0001822080547468075	0	0	9	0
浙江 金华_2018	浙江	金华	2018	177884	6288271	2.545589519553389e-06	4.454781659218431e-06	1.050055676815773e-05	7.159470523743906e-06	2.46604E-05	6285381	6285381	8.734554038967566e-05	0.010238201948298758	0	0	0.00010818755458101903	0	0	3	0
浙江 金华_2019	浙江	金华	2019	140902	4746123	4.005306398561294e-06	5.4809455980312444e-06	1.3069947195305274e-05	4.63772319833413e-06	2.71939E-05	4743707	2371853.5	9.423010316615255e-05	0.01050128096022794	0	0	9.401929756622827e-05	0	0	6	0
浙江 金华_2020	浙江	金华	2020	126814	4223211	2.1325341543115933e-06	5.686757744830915e-06	1.3032153165237514e-05	6.160654223566824e-06	2.70121E-05	4220331	4220331	9.64379334227576e-05	0.012233637598567505	0	0	9.90443640558051e-05	0	0	11	0
浙江 金华_2021	浙江	金华	2021	91529	2804723	1.7841181371665705e-06	4.638707156633084e-06	1.2488826960165994e-05	8.206943430966225e-06	2.71186E-05	2802505	2802505	9.063320136806179e-05	0.011110417287391101	0	0	0.00010490614646539435	0	0	3	0
浙江 金华_2022	浙江	金华	2022	61397	2152575	2.3242009280999144e-06	4.183561670579847e-06	3.2538812993398804e-05	5.578082227439795e-06	4.46247E-05	2151277	430255.4	0.00014503013791343467	0.013030400083299361	0	0	7.62337904416772e-05	0	0	0	0
浙江 金华_2023	浙江	金华	2023	78802	3122241	1.6022862702332704e-06	7.370516843073044e-06	1.249783290781951e-05	4.806858810699811e-06	2.62775E-05	3120541	780135.25	8.972803113306315e-05	0.011050968405798866	0	0	5.2554989663651274e-05	0	0	3	0
浙江 金华_2024	浙江	金华	2024	128397	5372046	9.310647134666966e-07	5.40017533810684e-06	1.0241711848133662e-05	3.538045911173447e-06	2.0111E-05	5370196	5370196	6.312618757304202e-05	0.010754356079368425	0	0	0.00048098803097689543	0	0	3	0
浙江 丽水_2010	浙江	丽水	2010	41695	1015278	3.942145078823191e-06	4.927681348528989e-06	2.3652870472939145e-05	7.884290157646382e-06	4.0407E-05	1014676	101467.6	0.0001320618601405769	0.00611623808979418	0	0	9.953916324028557e-05	0	0	0	0
浙江 丽水_2011	浙江	丽水	2011	443907	11900863	4.2878722745422045e-06	4.203796347590396e-06	1.1938781627156726e-05	5.212707471012092e-06	2.56432E-05	11894011	849572.2142857143	8.600967327169951e-05	0.01094517232244026	0	0	9.239944372003692e-05	0	0	6	0
浙江 丽水_2012	浙江	丽水	2012	415987	12744991	4.0031639123721545e-06	4.317137552558206e-06	1.2558945607442054e-05	6.828926674046617e-06	2.77082E-05	12739923	4246641	9.23082502146991e-05	0.013120251982684667	0	0	7.315585816334997e-05	0	0	3	0
浙江 丽水_2013	浙江	丽水	2013	149403	4646578	3.445193008325309e-06	3.229868445304977e-06	9.043631646853936e-06	5.813763201548959e-06	2.15325E-05	4644152	4644152	7.321035142691281e-05	0.010582556298760247	0	0	7.945476375450243e-05	0	1	2	1
浙江 丽水_2014	浙江	丽水	2014	118664	3638460	2.2010093829029995e-06	4.9522711115317486e-06	6.0527758029832485e-06	4.9522711115317486e-06	1.81583E-05	3634696	3634696	6.272876741273548e-05	0.012250543099065231	0	0	0.0001513193950745812	0	0	27	0
浙江 丽水_2015	浙江	丽水	2015	80065	2324563	4.307186842750208e-06	3.876468158475187e-06	5.168624211300249e-06	5.59934289557527e-06	1.89516E-05	2321701	580425.25	6.719211474690324e-05	0.010638751501593014	0	0	0.00019468484529230938	0	0	4	0
浙江 丽水_2016	浙江	丽水	2016	66915	1788851	2.23896846244998e-06	3.918194809287465e-06	8.396131734187426e-06	3.918194809287465e-06	1.84715E-05	1786537	893268.5	6.213137483298695e-05	0.008427477292661726	0	0	0.00019479025623314828	0	0	6	0
浙江 丽水_2017	浙江	丽水	2017	51705	1693295	1.7731387215078771e-06	3.5462774430157542e-06	1.1229878569549889e-05	5.3194161645236316e-06	2.18687E-05	1691915	51270.15151515151	7.447182630333084e-05	0.009325527582650428	0	0	9.752262968293324e-05	0	0	0	0
浙江 丽水_2018	浙江	丽水	2018	58569	1936947	5.683142095601817e-06	6.1997913770201635e-06	2.5832464070917348e-05	3.0998956885100817e-06	4.08153E-05	1935549	1935549	0.00012916232035458674	0.008617193364776609	0	0	0.00017772735280791136	0	0	2	0
浙江 丽水_2019	浙江	丽水	2019	49918	1390738	2.8781368093550957e-06	6.4758078210489655e-06	1.1512547237420383e-05	2.8781368093550957e-06	2.37446E-05	1389788	1389788	7.914876225726514e-05	0.00914959691693985	0	0	0.00018995702941743633	0	0	2	0
浙江 丽水_2020	浙江	丽水	2020	44014	1422500	2.8136478804087104e-06	2.8136478804087104e-06	1.195800349173702e-05	1.4068239402043552e-06	1.89921E-05	1421642	1421642	6.0493429428787274e-05	0.009463704645754698	0	0	0.00013013121446890286	0	0	1	0
浙江 丽水_2021	浙江	丽水	2021	33097	938589	2.1320938760933643e-06	2.1320938760933643e-06	1.5990704070700234e-05	8.528375504373457e-06	2.87833E-05	938045	938045	0.0001012744591144348	0.009590158254667953	0	0	0.00019935077741472956	0	0	2	0
浙江 丽水_2022	浙江	丽水	2022	28808	875683	2.2858109428627266e-06	6.85743282858818e-06	9.143243771450907e-06	2.2858109428627266e-06	2.05723E-05	874963	874963	7.086013922874452e-05	0.009283821144436965	0	0	0.0005885963177871521	0	0	0	0
浙江 丽水_2023	浙江	丽水	2023	34369	1042902	9.596229065826292e-07	8.636606159243664e-06	1.343472069215681e-05	7.676983252661034e-06	3.07079E-05	1042076	1042076	9.884115937801081e-05	0.007139594424974762	0	0	7.389096380686246e-05	0	0	0	0
浙江 丽水_2024	浙江	丽水	2024	66536	2679503	1.120019413669837e-06	6.7201164820190215e-06	7.466796091132246e-06	2.240038827339674e-06	1.7547E-05	2678525	2678525	5.6747650292605074e-05	0.01652849982733034	0	0	4.032069889211413e-05	0	0	0	0
浙江 宁波_2010	浙江	宁波	2010	703643	19415508	5.513304066448195e-06	3.2976771986232196e-06	1.3499866031863805e-05	6.492301984789464e-06	2.88031E-05	19407600	2425950	9.877573734001113e-05	0.0067972855994558835	0	0	0.00010506193449988664	0	0	45	0
浙江 宁波_2011	浙江	宁波	2011	5790002	150875606	3.83950019176944e-06	5.96813501311312e-06	1.284475280044457e-05	5.397846556304533e-06	2.80502E-05	150800878	25133479.666666668	9.206179820783271e-05	0.008499731679281072	0	0	0.00012078179014315819	0	0	406	0
