市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
黑龙江 黑河_2018	21026	685699	0.0023373042215916137	685405	24478.75	0.003691248240091625	0.009846732953509239	0.0	0.0	0.0001035883893464448	0	0	0	0
黑龙江 黑河_2019	32202	902299	0.0019405841724224016	901275	450637.5	0.0031688441374719146	0.012382458184238995	0.0	0.0	0.00019860752822390502	0	0	4	0
黑龙江 黑河_2020	32685	887972	0.0015903594889193676	886592	443296.0	0.0025581101566447702	0.009982043600664117	0.0	0.0	0.00015114054717389736	0	0	0	0
黑龙江 黑河_2021	13597	403672	0.0015262894043252312	402938	44770.88888888889	0.0024718443035901304	0.009207371853734322	0.0	0.0	0.00013897919779221618	0	0	1	0
黑龙江 黑河_2022	7390	258126	0.0016664212247808462	258038	258038.0	0.002778660507367132	0.00916144133809749	0.0	0.0	5.038017656314186e-05	0	0	0	0
黑龙江 黑河_2023	12867	492248	0.0019452010244318874	491980	98396.0	0.0032399691044351395	0.006544981503313143	0.0	0.0	9.349973576161633e-05	0	0	0	0
黑龙江 黑河_2024	13206	487659	0.002115474976454825	487361	162453.66666666666	0.003467655393024883	0.00649210749321345	0.0	0.0	8.002281676211268e-05	0	0	0	0
黑龙江 齐齐哈尔_2010	44329	1197844	0.0019478100500984763	1197242	1197242.0	0.003214888886290324	0.005320561757773282	0.0	0.0	4.76094223223041e-05	0	0	7	0
黑龙江 齐齐哈尔_2011	314592	9509098	0.0022438722800440145	9504106	9504106.0	0.0036795675469107774	0.009702543300758641	0.0	0.0	7.596716619111782e-05	0	0	132	0
黑龙江 齐齐哈尔_2012	307147	9301768	0.002352239532985894	9295822	9295822.0	0.0038873377738945516	0.010153808883173538	0.0	0.0	7.27208416856519e-05	0	0	21	0
黑龙江 齐齐哈尔_2013	91889	2777178	0.001991777837337783	2775912	693978.0	0.00325910907838577	0.0077412396358386	0.0	0.0	0.00010771234823005917	0	0	3	0
黑龙江 齐齐哈尔_2014	90743	2474930	0.0020230437708694637	2472512	1236256.0	0.003212522325473041	0.007417153081562395	0.0	0.0	0.000254397147516372	0	0	1	0
黑龙江 齐齐哈尔_2015	80585	2041447	0.002105481069556912	2038489	339748.1666666667	0.003389275095426073	0.007979439673208931	0.0	0.0	0.00020505384135013728	0	0	17	0
黑龙江 齐齐哈尔_2016	89073	2560069	0.002106761621506411	2557005	852335.0	0.003336716197269853	0.007637059763277741	0.0	0.0	0.00015056677636531802	0	0	16	0
黑龙江 齐齐哈尔_2017	66445	1794662	0.001994568079769333	1792368	1792368.0	0.00322534211724378	0.009260933022682842	0.0	0.0	0.0002226105353364934	0	0	0	0
黑龙江 齐齐哈尔_2018	54958	1523348	0.0020106472312861967	1521898	1521898.0	0.003257774174090511	0.008277821509720099	0.0	0.0	0.0002930551193312561	0	0	25	0
黑龙江 齐齐哈尔_2019	55366	1470762	0.002527492863149358	1469836	1469836.0	0.004249453680546673	0.008260785557028132	0.0	0.0	0.00019525987933347665	0	0	2	0
黑龙江 齐齐哈尔_2020	52299	1459203	0.0026332558469734707	1457891	9591.388157894737	0.00409221265512991	0.007693304917857371	0.0	0.0	0.00011386310773576351	0	0	1	0
黑龙江 齐齐哈尔_2021	33649	949884	0.0017693202606665036	948952	948952.0	0.0028789654271238166	0.00825015385393571	0.0	0.0	0.000118024936983114	0	0	0	0
黑龙江 齐齐哈尔_2022	24584	711895	0.001809599736785493	711207	711207.0	0.00291054503119345	0.007037332309721361	0.0	0.0	0.00010686059051724744	0	0	0	0
